Date,AAPL,BTCUSDT,Unnamed: 0
2020-01-01,,7200.85,
2020-01-02,75.0875015258789,6965.71,
2020-01-03,74.35749816894531,7344.96,
2020-01-04,,7354.11,
2020-01-05,,7358.75,
2020-01-06,74.94999694824219,7758.0,
2020-01-07,74.59750366210938,8145.28,
2020-01-08,75.79750061035156,8055.98,
2020-01-09,77.40750122070312,7817.76,
2020-01-10,77.5824966430664,8197.02,
2020-01-11,,8020.01,
2020-01-12,,8184.98,
2020-01-13,79.23999786376953,8110.34,
2020-01-14,78.16999816894531,8810.01,
2020-01-15,77.83499908447266,8821.41,
2020-01-16,78.80999755859375,8720.01,
2020-01-17,79.68250274658203,8913.28,
2020-01-18,,8915.96,
2020-01-19,,8701.7,
2020-01-20,,8642.35,
2020-01-21,79.14250183105469,8736.03,
2020-01-22,79.42500305175781,8682.36,
2020-01-23,79.80750274658203,8404.52,
2020-01-24,79.57749938964844,8439.0,
2020-01-25,,8340.58,
2020-01-26,,8615.0,
2020-01-27,77.23750305175781,8907.57,
2020-01-28,79.42250061035156,9374.21,
2020-01-29,81.08499908447266,9301.53,
2020-01-30,80.96749877929688,9513.21,
2020-01-31,77.37750244140625,9352.89,
2020-02-01,,9384.61,
2020-02-02,,9331.51,
2020-02-03,77.16500091552734,9292.24,
2020-02-04,79.7125015258789,9197.02,
2020-02-05,80.36250305175781,9612.04,
2020-02-06,81.30249786376953,9772.0,
2020-02-07,80.00749969482422,9813.73,
2020-02-08,,9895.05,
2020-02-09,,10151.75,
2020-02-10,80.38749694824219,9851.83,
2020-02-11,79.90249633789062,10223.08,
2020-02-12,81.80000305175781,10326.46,
2020-02-13,81.21749877929688,10229.63,
2020-02-14,81.23750305175781,10344.36,
2020-02-15,,9904.72,
2020-02-16,,9917.27,
2020-02-17,,9706.0,
2020-02-18,79.75,10164.71,
2020-02-19,80.90499877929688,9593.79,
2020-02-20,80.07499694824219,9596.42,
2020-02-21,78.26249694824219,9677.05,
2020-02-22,,9650.86,
2020-02-23,,9936.4,
2020-02-24,74.54499816894531,9656.13,
2020-02-25,72.0199966430664,9315.84,
2020-02-26,73.1624984741211,8785.25,
2020-02-27,68.37999725341797,8823.21,
2020-02-28,68.33999633789062,8692.91,
2020-02-29,,8523.61,
2020-03-01,,8531.88,
2020-03-02,74.70249938964844,8915.24,
2020-03-03,72.33000183105469,8760.07,
2020-03-04,75.68499755859375,8750.87,
2020-03-05,73.2300033569336,9054.68,
2020-03-06,72.25749969482422,9131.88,
2020-03-07,,8886.66,
2020-03-08,,8033.31,
2020-03-09,66.5425033569336,7929.87,
2020-03-10,71.33499908447266,7894.56,
2020-03-11,68.85749816894531,7934.52,
2020-03-12,62.057498931884766,4800.0,
2020-03-13,69.49250030517578,5578.6,
2020-03-14,,5172.06,
2020-03-15,,5361.3,
2020-03-16,60.5525016784668,5028.97,
2020-03-17,63.21500015258789,5312.64,
2020-03-18,61.66749954223633,5393.04,
2020-03-19,61.19499969482422,6162.37,
2020-03-20,57.310001373291016,6208.36,
2020-03-21,,6186.98,
2020-03-22,,5816.19,
2020-03-23,56.092498779296875,6467.31,
2020-03-24,61.720001220703125,6744.72,
2020-03-25,61.380001068115234,6677.43,
2020-03-26,64.61000061035156,6737.36,
2020-03-27,61.935001373291016,6359.11,
2020-03-28,,6236.65,
2020-03-29,,5881.42,
2020-03-30,63.70249938964844,6394.38,
2020-03-31,63.5724983215332,6410.44,
2020-04-01,60.227500915527344,6642.92,
2020-04-02,61.23249816894531,6794.09,
2020-04-03,60.352500915527344,6734.1,
2020-04-04,,6856.99,
2020-04-05,,6772.78,
2020-04-06,65.61750030517578,7329.9,
2020-04-07,64.85749816894531,7197.32,
2020-04-08,66.51750183105469,7361.28,
2020-04-09,66.99749755859375,7283.54,
2020-04-10,,6858.92,
2020-04-11,,6876.83,
2020-04-12,,6903.79,
2020-04-13,68.3125,6837.91,
2020-04-14,71.76249694824219,6868.7,
2020-04-15,71.10749816894531,6621.24,
2020-04-16,71.67250061035156,7101.94,
2020-04-17,70.69999694824219,7027.55,
2020-04-18,,7248.6,
2020-04-19,,7120.74,
2020-04-20,69.23249816894531,6826.83,
2020-04-21,67.09249877929688,6841.37,
2020-04-22,69.0250015258789,7125.14,
2020-04-23,68.75749969482422,7482.39,
2020-04-24,70.74250030517578,7505.0,
2020-04-25,,7538.67,
2020-04-26,,7693.1,
2020-04-27,70.7925033569336,7774.62,
2020-04-28,69.6449966430664,7738.98,
2020-04-29,71.93250274658203,8778.57,
2020-04-30,73.44999694824219,8620.0,
2020-05-01,72.26750183105469,8826.96,
2020-05-02,,8972.05,
2020-05-03,,8894.16,
2020-05-04,73.29000091552734,8871.96,
2020-05-05,74.38999938964844,9021.83,
2020-05-06,75.15750122070312,9142.92,
2020-05-07,75.93499755859375,9986.4,
2020-05-08,77.53250122070312,9800.01,
2020-05-09,,9539.4,
2020-05-10,,8722.77,
2020-05-11,78.75250244140625,8561.52,
2020-05-12,77.85250091552734,8810.79,
2020-05-13,76.9124984741211,9309.37,
2020-05-14,77.38500213623047,9791.98,
2020-05-15,76.92749786376953,9316.42,
2020-05-16,,9381.27,
2020-05-17,,9680.04,
2020-05-18,78.73999786376953,9733.93,
2020-05-19,78.28500366210938,9775.53,
2020-05-20,79.80750274658203,9511.43,
2020-05-21,79.2125015258789,9068.65,
2020-05-22,79.72250366210938,9170.0,
2020-05-23,,9179.15,
2020-05-24,,8720.34,
2020-05-25,,8900.35,
2020-05-26,79.18250274658203,8841.18,
2020-05-27,79.52749633789062,9204.07,
2020-05-28,79.5625,9575.89,
2020-05-29,79.48500061035156,9427.07,
2020-05-30,,9697.72,
2020-05-31,,9448.27,
2020-06-01,80.4625015258789,10200.77,
2020-06-02,80.83499908447266,9518.04,
2020-06-03,81.27999877929688,9666.24,
2020-06-04,80.58000183105469,9789.06,
2020-06-05,82.875,9621.16,
2020-06-06,,9666.3,
2020-06-07,,9746.99,
2020-06-08,83.36499786376953,9782.01,
2020-06-09,85.99749755859375,9772.43,
2020-06-10,88.20999908447266,9885.0,
2020-06-11,83.9749984741211,9280.4,
2020-06-12,84.69999694824219,9465.13,
2020-06-13,,9473.34,
2020-06-14,,9342.1,
2020-06-15,85.74749755859375,9426.02,
2020-06-16,88.0199966430664,9525.59,
2020-06-17,87.89749908447266,9465.14,
2020-06-18,87.93250274658203,9386.32,
2020-06-19,87.43000030517578,9310.23,
2020-06-20,,9358.95,
2020-06-21,,9294.69,
2020-06-22,89.71749877929688,9685.69,
2020-06-23,91.63249969482422,9624.89,
2020-06-24,90.01499938964844,9296.49,
2020-06-25,91.20999908447266,9249.49,
2020-06-26,88.40750122070312,9162.21,
2020-06-27,,9012.0,
2020-06-28,,9116.35,
2020-06-29,90.44499969482422,9192.56,
2020-06-30,91.1999969482422,9138.55,
2020-07-01,91.02749633789062,9232.0,
2020-07-02,91.02749633789062,9086.54,
2020-07-03,,9058.26,
2020-07-04,,9135.46,
2020-07-05,,9069.41,
2020-07-06,93.4625015258789,9344.2,
2020-07-07,93.17250061035156,9257.39,
2020-07-08,95.34249877929688,9436.06,
2020-07-09,95.75250244140624,9232.43,
2020-07-10,95.91999816894533,9288.34,
2020-07-11,,9234.03,
2020-07-12,,9302.75,
2020-07-13,95.47750091552734,9242.62,
2020-07-14,97.05750274658205,9255.85,
2020-07-15,97.7249984741211,9197.6,
2020-07-16,96.52249908447266,9133.72,
2020-07-17,96.32749938964844,9154.32,
2020-07-18,,9170.28,
2020-07-19,,9208.99,
2020-07-20,98.35749816894533,9160.78,
2020-07-21,97.0,9390.0,
2020-07-22,97.27249908447266,9518.16,
2020-07-23,92.84500122070312,9603.27,
2020-07-24,92.61499786376952,9537.8,
2020-07-25,,9700.42,
2020-07-26,,9931.54,
2020-07-27,94.80999755859376,11029.96,
2020-07-28,93.25250244140624,10906.27,
2020-07-29,95.04000091552734,11100.53,
2020-07-30,96.19000244140624,11099.61,
2020-07-31,106.26000213623048,11335.46,
2020-08-01,,11801.17,
2020-08-02,,11071.35,
2020-08-03,108.9375,11219.81,
2020-08-04,109.66500091552734,11191.97,
2020-08-05,110.0625,11744.91,
2020-08-06,113.90249633789062,11762.46,
2020-08-07,111.1125030517578,11594.23,
2020-08-08,,11761.41,
2020-08-09,,11681.68,
2020-08-10,112.72750091552734,11892.92,
2020-08-11,109.375,11392.08,
2020-08-12,113.01000213623048,11564.33,
2020-08-13,115.01000213623048,11780.0,
2020-08-14,114.90750122070312,11760.54,
2020-08-15,,11852.4,
2020-08-16,,11911.0,
2020-08-17,114.60749816894533,12281.13,
2020-08-18,115.5625,11945.01,
2020-08-19,115.7074966430664,11754.59,
2020-08-20,118.2750015258789,11853.55,
2020-08-21,124.37000274658205,11531.34,
2020-08-22,,11662.96,
2020-08-23,,11648.13,
2020-08-24,125.85749816894533,11748.2,
2020-08-25,124.8249969482422,11318.42,
2020-08-26,126.52249908447266,11461.43,
2020-08-27,125.01000213623048,11330.38,
2020-08-28,124.80750274658205,11526.91,
2020-08-29,,11465.84,
2020-08-30,,11711.16,
2020-08-31,129.0399932861328,11649.51,
2020-09-01,134.17999267578125,11921.97,
2020-09-02,131.39999389648438,11388.54,
2020-09-03,120.87999725341795,10140.85,
2020-09-04,120.95999908447266,10446.25,
2020-09-05,,10166.69,
2020-09-06,,10256.2,
2020-09-07,,10373.44,
2020-09-08,112.81999969482422,10126.65,
2020-09-09,117.31999969482422,10219.2,
2020-09-10,113.48999786376952,10336.87,
2020-09-11,112.0,10387.89,
2020-09-12,,10440.92,
2020-09-13,,10332.83,
2020-09-14,115.36000061035156,10671.77,
2020-09-15,115.54000091552734,10785.31,
2020-09-16,112.12999725341795,10954.01,
2020-09-17,110.33999633789062,10939.99,
2020-09-18,106.83999633789062,10933.39,
2020-09-19,,11080.65,
2020-09-20,,10920.28,
2020-09-21,110.08000183105467,10417.22,
2020-09-22,111.80999755859376,10529.61,
2020-09-23,107.12000274658205,10241.46,
2020-09-24,108.22000122070312,10736.32,
2020-09-25,112.27999877929688,10686.67,
2020-09-26,,10728.6,
2020-09-27,,10774.25,
2020-09-28,114.95999908447266,10696.12,
2020-09-29,114.08999633789062,10840.48,
2020-09-30,115.80999755859376,10776.59,
2020-10-01,116.79000091552734,10619.13,
2020-10-02,113.0199966430664,10570.4,
2020-10-03,,10542.06,
2020-10-04,,10666.63,
2020-10-05,116.5,10792.21,
2020-10-06,113.16000366210938,10599.66,
2020-10-07,115.08000183105467,10666.39,
2020-10-08,114.97000122070312,10925.57,
2020-10-09,116.97000122070312,11050.64,
2020-10-10,,11293.22,
2020-10-11,,11369.02,
2020-10-12,124.4000015258789,11528.25,
2020-10-13,121.0999984741211,11420.56,
2020-10-14,121.19000244140624,11417.89,
2020-10-15,120.70999908447266,11505.12,
2020-10-16,119.0199966430664,11319.32,
2020-10-17,,11360.2,
2020-10-18,,11503.14,
2020-10-19,115.9800033569336,11751.47,
2020-10-20,117.51000213623048,11909.99,
2020-10-21,116.87000274658205,12780.96,
2020-10-22,115.75,12968.52,
2020-10-23,115.04000091552734,12923.07,
2020-10-24,,13111.73,
2020-10-25,,13028.83,
2020-10-26,115.0500030517578,13052.19,
2020-10-27,116.5999984741211,13636.17,
2020-10-28,111.1999969482422,13266.4,
2020-10-29,115.31999969482422,13455.7,
2020-10-30,108.86000061035156,13560.1,
2020-10-31,,13791.0,
2020-11-01,,13761.5,
2020-11-02,108.7699966430664,13549.37,
2020-11-03,110.44000244140624,14023.53,
2020-11-04,114.9499969482422,14144.01,
2020-11-05,119.02999877929688,15590.02,
2020-11-06,118.69000244140624,15579.92,
2020-11-07,,14818.3,
2020-11-08,,15475.1,
2020-11-09,116.31999969482422,15328.41,
2020-11-10,115.97000122070312,15297.21,
2020-11-11,119.48999786376952,15684.24,
2020-11-12,119.20999908447266,16291.86,
2020-11-13,119.26000213623048,16320.7,
2020-11-14,,16070.45,
2020-11-15,,15957.0,
2020-11-16,120.3000030517578,16713.57,
2020-11-17,119.38999938964844,17659.38,
2020-11-18,118.02999877929688,17776.12,
2020-11-19,118.63999938964844,17802.82,
2020-11-20,117.33999633789062,18655.67,
2020-11-21,,18703.8,
2020-11-22,,18414.43,
2020-11-23,113.8499984741211,18368.0,
2020-11-24,115.16999816894533,19160.01,
2020-11-25,116.02999877929688,18719.11,
2020-11-26,,17149.47,
2020-11-27,116.58999633789062,17139.52,
2020-11-28,,17719.85,
2020-11-29,,18184.99,
2020-11-30,119.0500030517578,19695.87,
2020-12-01,122.72000122070312,18764.96,
2020-12-02,123.08000183105467,19204.09,
2020-12-03,122.94000244140624,19421.9,
2020-12-04,122.25,18650.52,
2020-12-05,,19147.66,
2020-12-06,,19359.4,
2020-12-07,123.75,19166.9,
2020-12-08,124.37999725341795,18324.11,
2020-12-09,121.77999877929688,18541.28,
2020-12-10,123.23999786376952,18254.63,
2020-12-11,122.41000366210938,18036.53,
2020-12-12,,18808.69,
2020-12-13,,19174.99,
2020-12-14,121.77999877929688,19273.14,
2020-12-15,127.87999725341795,19426.43,
2020-12-16,127.80999755859376,21335.52,
2020-12-17,128.6999969482422,22797.16,
2020-12-18,126.66000366210938,23107.39,
2020-12-19,,23821.61,
2020-12-20,,23455.52,
2020-12-21,128.22999572753906,22719.71,
2020-12-22,131.8800048828125,23810.79,
2020-12-23,130.9600067138672,23232.76,
2020-12-24,131.97000122070312,23729.2,
2020-12-25,,24712.47,
2020-12-26,,26493.39,
2020-12-27,,26281.66,
2020-12-28,136.69000244140625,27079.41,
2020-12-29,134.8699951171875,27385.0,
2020-12-30,133.72000122070312,28875.54,
2020-12-31,,28923.63,
